plan: 99 runs (24 cells, rounds 0..3), affinity 4, grid 500x500
[05:54:09] r0_K1e-05_elev_DFR: steady 10243.6 ms/step, first 10369.6 ms, peak 507 MB, wall 53.0 s, flooded 93296
[05:55:02] r0_K1e-05_elev_LMB: steady 9621.8 ms/step, first 9379.5 ms, peak 561 MB, wall 49.9 s, flooded 0
[05:55:17] r0_K1e-05_elev_PFFR: steady 2006.7 ms/step, first 2030.1 ms, peak 444 MB, wall 11.8 s, flooded 93409
[05:55:20] r0_K1e-05_elev_FS: steady 71.5 ms/step, first 73.9 ms, peak 108 MB, wall 0.5 s, flooded 92752
[05:56:16] r0_K1e-05_elev_da_DFR: steady 10283.0 ms/step, first 10509.9 ms, peak 507 MB, wall 53.2 s, flooded 93296
[05:57:09] r0_K1e-05_elev_da_LMB: steady 9530.5 ms/step, first 9332.3 ms, peak 560 MB, wall 49.5 s, flooded 0
[05:57:24] r0_K1e-05_elev_da_PFFR: steady 2043.5 ms/step, first 2067.1 ms, peak 445 MB, wall 12.0 s, flooded 93409
[05:57:28] r0_K1e-05_elev_da_FS: steady 71.7 ms/step, first 73.8 ms, peak 108 MB, wall 0.5 s, flooded 92752
[05:58:24] r0_K1e-04_elev_DFR: steady 10205.8 ms/step, first 10453.3 ms, peak 507 MB, wall 52.9 s, flooded 88054
[05:59:18] r0_K1e-04_elev_LMB: steady 9833.1 ms/step, first 9339.9 ms, peak 562 MB, wall 50.9 s, flooded 0
[05:59:33] r0_K1e-04_elev_PFFR: steady 2002.8 ms/step, first 2029.0 ms, peak 444 MB, wall 11.7 s, flooded 87984
[05:59:36] r0_K1e-04_elev_FS: steady 71.2 ms/step, first 73.4 ms, peak 108 MB, wall 0.5 s, flooded 81838
[06:00:32] r0_K1e-04_elev_da_DFR: steady 10192.6 ms/step, first 10387.7 ms, peak 506 MB, wall 52.7 s, flooded 88054
[06:01:27] r0_K1e-04_elev_da_LMB: steady 9908.8 ms/step, first 9427.2 ms, peak 562 MB, wall 51.3 s, flooded 0
[06:01:42] r0_K1e-04_elev_da_PFFR: steady 2015.3 ms/step, first 2045.9 ms, peak 444 MB, wall 11.8 s, flooded 87984
[06:01:45] r0_K1e-04_elev_da_FS: steady 71.3 ms/step, first 73.5 ms, peak 108 MB, wall 0.5 s, flooded 81838
[06:02:42] r0_K1e-06_elev_DFR: steady 10416.5 ms/step, first 10503.3 ms, peak 507 MB, wall 53.8 s, flooded 96553
[06:03:34] r0_K1e-06_elev_LMB: steady 9331.1 ms/step, first 9273.2 ms, peak 559 MB, wall 48.5 s, flooded 0
[06:03:49] r0_K1e-06_elev_PFFR: steady 2034.2 ms/step, first 2066.5 ms, peak 444 MB, wall 11.9 s, flooded 96541
[06:03:53] r0_K1e-06_elev_FS: steady 71.4 ms/step, first 73.3 ms, peak 108 MB, wall 0.5 s, flooded 96463
[06:04:49] r0_K1e-06_elev_da_DFR: steady 10369.0 ms/step, first 10478.8 ms, peak 506 MB, wall 53.7 s, flooded 96553
[06:05:41] r0_K1e-06_elev_da_LMB: steady 9338.1 ms/step, first 9274.7 ms, peak 558 MB, wall 48.5 s, flooded 0
[06:05:56] r0_K1e-06_elev_da_PFFR: steady 1993.6 ms/step, first 2025.4 ms, peak 445 MB, wall 11.7 s, flooded 96541
[06:06:00] r0_K1e-06_elev_da_FS: steady 71.6 ms/step, first 73.7 ms, peak 108 MB, wall 0.5 s, flooded 96463
[06:14:19] r1_K1e-05_elev_DFR: steady 9851.0 ms/step, first 10495.3 ms, peak 509 MB, wall 496.4 s, flooded 80129
[06:22:37] r1_K1e-05_elev_LMB: steady 9895.2 ms/step, first 9270.7 ms, peak 566 MB, wall 494.6 s, flooded 0
[06:24:22] r1_K1e-05_elev_PFFR: steady 1993.5 ms/step, first 2033.2 ms, peak 445 MB, wall 101.5 s, flooded 81074
[06:24:28] r1_K1e-05_elev_FS: steady 70.4 ms/step, first 73.9 ms, peak 108 MB, wall 3.7 s, flooded 77647
[06:32:53] r1_K1e-05_elev_da_DFR: steady 9941.0 ms/step, first 10551.2 ms, peak 508 MB, wall 501.3 s, flooded 80129
[06:41:10] r1_K1e-05_elev_da_LMB: steady 9878.0 ms/step, first 9266.2 ms, peak 566 MB, wall 493.8 s, flooded 0
[06:42:56] r1_K1e-05_elev_da_PFFR: steady 2019.9 ms/step, first 2047.8 ms, peak 445 MB, wall 102.8 s, flooded 81074
[06:43:02] r1_K1e-05_elev_da_FS: steady 70.3 ms/step, first 73.3 ms, peak 108 MB, wall 3.7 s, flooded 77647
[06:50:23] r1_K1e-04_elev_DFR: steady 8541.7 ms/step, first 10524.0 ms, peak 508 MB, wall 437.4 s, flooded 54609
[06:57:47] r1_K1e-04_elev_LMB: steady 8683.4 ms/step, first 9252.9 ms, peak 568 MB, wall 441.3 s, flooded 0
[06:59:32] r1_K1e-04_elev_PFFR: steady 1990.2 ms/step, first 2018.3 ms, peak 445 MB, wall 101.3 s, flooded 55812
[06:59:38] r1_K1e-04_elev_FS: steady 58.9 ms/step, first 73.4 ms, peak 108 MB, wall 3.2 s, flooded 8794
[07:07:01] r1_K1e-04_elev_da_DFR: steady 8583.5 ms/step, first 10530.3 ms, peak 507 MB, wall 439.4 s, flooded 54609
[07:14:25] r1_K1e-04_elev_da_LMB: steady 8677.1 ms/step, first 9300.2 ms, peak 567 MB, wall 441.2 s, flooded 0
[07:16:10] r1_K1e-04_elev_da_PFFR: steady 2002.3 ms/step, first 2030.1 ms, peak 445 MB, wall 101.9 s, flooded 55812
[07:16:16] r1_K1e-04_elev_da_FS: steady 59.1 ms/step, first 73.8 ms, peak 108 MB, wall 3.2 s, flooded 8794
[07:24:35] r1_K1e-06_elev_DFR: steady 9835.9 ms/step, first 10722.3 ms, peak 507 MB, wall 495.5 s, flooded 91730
[07:32:37] r1_K1e-06_elev_LMB: steady 9562.7 ms/step, first 9313.9 ms, peak 561 MB, wall 479.0 s, flooded 0
[07:34:21] r1_K1e-06_elev_PFFR: steady 1985.6 ms/step, first 2019.4 ms, peak 445 MB, wall 101.0 s, flooded 91818
[07:34:28] r1_K1e-06_elev_FS: steady 70.8 ms/step, first 73.2 ms, peak 108 MB, wall 3.7 s, flooded 91639
[07:43:03] r1_K1e-06_elev_da_DFR: steady 10161.0 ms/step, first 10558.8 ms, peak 509 MB, wall 511.4 s, flooded 91730
[07:51:02] r1_K1e-06_elev_da_LMB: steady 9518.5 ms/step, first 9231.2 ms, peak 562 MB, wall 476.5 s, flooded 0
[07:52:47] r1_K1e-06_elev_da_PFFR: steady 1995.2 ms/step, first 2029.2 ms, peak 444 MB, wall 101.5 s, flooded 91818
[07:52:54] r1_K1e-06_elev_da_FS: steady 71.0 ms/step, first 73.5 ms, peak 108 MB, wall 3.7 s, flooded 91639
[07:53:00] r1_K1e-05_elev_FS_PIECEWISE: steady 70.3 ms/step, first 73.3 ms, peak 108 MB, wall 3.7 s, flooded 77647
